,Unnamed: 0.1,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN,Extra_info
0,0,0,Maruti,2017,1197.0,3rd Party,5.45,40000.0,Manual,1st Owner,83.1,Petrol,5.0,21.4,Hatchback,Agra,Baleno,91YCJCV64M838AV2U,1.2 Alpha
1,1,1,Tata,2018,2179.0,3rd Party,10.0,70000.0,Automatic,1st Owner,153.86,Diesel,7.0,17.6,MUV,Agra,Hexa,43NEAWKY5AK63JEJM,XTA
2,2,2,Maruti,2015,1197.0,3rd Party,4.5,70000.0,Manual,2nd Owner,83.14,Petrol,5.0,20.85,Sedan,Agra,Swift,6FSJU5X17BVA649G4,Dzire VXI
3,3,3,Maruti,2015,1197.0,3rd Party,4.5,70000.0,Manual,2nd Owner,83.14,Petrol,5.0,20.85,Sedan,Agra,Swift,K0R4C3Y17ZLPYXFLZ,Dzire VXI
4,4,4,Hyundai,2009,1086.0,3rd Party,1.6,80000.0,Manual,1st Owner,68.05,Petrol,5.0,19.81,Hatchback,Agra,i10,EERRPCZ94NP9F1Y27,Magna 1.1
5,5,5,Hyundai,2015,1197.0,3rd Party,4.7,70000.0,Manual,1st Owner,81.86,Petrol,5.0,17.19,Hatchback,Agra,i20,1ALTEWS68LUAPK6ZD,Active 1.2
6,6,6,Tata,2017,1047.0,3rd Party,3.6,120000.0,Manual,1st Owner,69.0,Diesel,5.0,27.28,Hatchback,Agra,Tiago,9GXPR63B014CLRE8S,1.05 Revotorq XZ
7,7,7,Hyundai,2010,1086.0,3rd Party,2.0,60000.0,Manual,2nd Owner,68.05,Petrol,5.0,19.81,Hatchback,Agra,i10,LC0EV4V281WG259N6,Magna 1.1
8,8,8,Maruti,2016,1196.0,3rd Party,3.7,20000.0,Manual,1st Owner,73.0,Petrol,7.0,15.37,Minivans,Agra,Eeco,8ZEM5KBE8Z57B22FL,7 Seater Standard BSIV
9,9,9,Hyundai,2009,1086.0,3rd Party,1.2,30000.0,Manual,1st Owner,62.0,Petrol,5.0,,Hatchback,Agra,Santro,PZNB1P12XZ2B76ERX,Xing GL
10,10,10,Honda,2014,1198.0,3rd Party,3.3,70000.0,Manual,1st Owner,86.7,Petrol,5.0,18.0,Sedan,Agra,Amaze,49VHDCK69SE3LVH0D,E i-Vtech
11,11,11,Hyundai,2018,1197.0,3rd Party,4.75,60000.0,Manual,2nd Owner,81.86,Petrol,5.0,20.14,Sedan,Agra,Xcent,XK82PV9G3KJF1V004,1.2 VTVT SX
12,12,12,Maruti,2020,1462.0,3rd Party,6.86,50000.0,Manual,3rd Owner,103.25,Petrol,5.0,21.56,Sedan,Agra,Ciaz,ETF615J92KRYPX2YS,Sigma BSIV
13,13,13,Hyundai,2021,1493.0,3rd Party,12.5,60000.0,Manual,1st Owner,98.6,Diesel,5.0,23.7,SUV,Agra,Venue,G0NN7NRC472P1HH5E,SX Opt Executive Diesel
14,14,14,Hyundai,2021,1396.0,3rd Party,11.0,60000.0,Manual,1st Owner,89.0,Diesel,5.0,23.7,SUV,Agra,Venue,VJT28SP4662NTCB85,SX Dual Tone Diesel BSIV
15,15,15,Maruti,2019,998.0,3rd Party,3.95,20000.0,Automatic,1st Owner,67.1,Petrol,5.0,23.95,Hatchback,Agra,Alto,AS6AAB9T2VRBBJ0V2,K10 VXI AGS Optional
16,16,16,Maruti,2016,998.0,3rd Party,3.5,40000.0,Manual,1st Owner,58.16,CNG,5.0,26.6,Hatchback,Agra,Wagon,8BHM80NY59U6NT7E0,R LXI CNG
17,17,17,Toyota,2011,1496.0,3rd Party,2.89,50000.0,Manual,2nd Owner,88.7,Petrol,5.0,17.6,Sedan,Agra,Etios,WEW8CJWD6MFG3ETL6,VX
18,18,18,Toyota,2011,1364.0,3rd Party,2.82,150000.0,Manual,1st Owner,87.2,Diesel,5.0,21.43,Sedan,Agra,Corolla,W6VC62HN1T7UZD5X3,Altis Diesel D4DGL
19,19,19,Kia,2021,998.0,3rd Party,10.0,10000.0,Manual,1st Owner,118.36,Petrol,5.0,18.2,SUV,Agra,Sonet,RVT3CKAL8W9YVHP6K,HTX Plus Turbo iMT BSVI
20,20,20,Maruti,2020,1462.0,3rd Party,7.85,30000.0,Manual,2nd Owner,103.25,Petrol,5.0,20.65,Sedan,Agra,Ciaz,3G4Y06SD7D3K4VN51,Alpha BSVI
21,21,21,Ford,2014,1498.0,3rd Party,3.0,150000.0,Manual,3rd Owner,89.84,Diesel,5.0,22.7,SUV,Agra,Ecosport,54CCX55H56ARCEZVP,1.5 DV5 MT Ambiente
22,22,22,Mitsubishi,2011,2360.0,3rd Party,3.97,80000.0,Automatic,2nd Owner,170.0,Petrol,5.0,11.3,SUV,Agra,Outlander,D1WK2UKL9DCVUTVCK,2.4
23,23,23,Maruti,2015,1248.0,3rd Party,3.75,20000.0,Manual,1st Owner,74.0,Diesel,5.0,26.59,Sedan,Agra,Swift,350B3BD09K165EB69,Dzire VDI
24,24,24,Maruti,2011,998.0,3rd Party,1.0,120000.0,Manual,3rd Owner,67.1,Petrol,5.0,20.92,Hatchback,Agra,Alto,7VK1PW0S1F1MWUUJX,K10 LXI
25,25,25,Mitsubishi,2011,2360.0,3rd Party,3.97,80000.0,Automatic,2nd Owner,170.0,Petrol,5.0,11.3,SUV,Agra,Outlander,EM2W2UFUXD3KS2W87,2.4
26,26,26,Maruti,2021,1197.0,3rd Party,6.75,40000.0,Manual,1st Owner,81.8,Petrol,5.0,21.01,Hatchback,Agra,Baleno,MJJWR1514XYZRXB8V,Zeta
27,27,27,Hyundai,2018,1197.0,3rd Party,4.65,60000.0,Manual,2nd Owner,81.86,Petrol,5.0,20.14,Sedan,Agra,Xcent,FHHZB4DV11DJKH0FB,1.2 VTVT SX
