,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN
0,0,Maruti,2017,1197.0,3rd Party,5.45,40000.0,Manual,1st Owner,83.1,Petrol,5.0,21.4,Hatchback,Agra,baleno 1.2 alpha,91YCJCV64M838AV2U
1,1,Tata,2018,2179.0,3rd Party,10.0,70000.0,Automatic,1st Owner,153.86,Diesel,7.0,17.6,MUV,Agra,hexa xta,43NEAWKY5AK63JEJM
2,2,Maruti,2015,1197.0,3rd Party,4.5,70000.0,Manual,2nd Owner,83.14,Petrol,5.0,20.85,Sedan,Agra,swift dzire vxi,6FSJU5X17BVA649G4
3,3,Maruti,2015,1197.0,3rd Party,4.5,70000.0,Manual,2nd Owner,83.14,Petrol,5.0,20.85,Sedan,Agra,swift dzire vxi,K0R4C3Y17ZLPYXFLZ
4,4,Hyundai,2009,1086.0,3rd Party,1.6,80000.0,Manual,1st Owner,68.05,Petrol,5.0,19.81,Hatchback,Agra,i10 magna 1.1,EERRPCZ94NP9F1Y27
5,5,Hyundai,2015,1197.0,3rd Party,4.7,70000.0,Manual,1st Owner,81.86,Petrol,5.0,17.19,Hatchback,Agra,i20 active 1.2,1ALTEWS68LUAPK6ZD
6,6,Tata,2017,1047.0,3rd Party,3.6,120000.0,Manual,1st Owner,69.0,Diesel,5.0,27.28,Hatchback,Agra,tiago 1.05 revotorq xz,9GXPR63B014CLRE8S
7,7,Hyundai,2010,1086.0,3rd Party,2.0,60000.0,Manual,2nd Owner,68.05,Petrol,5.0,19.81,Hatchback,Agra,i10 magna 1.1,LC0EV4V281WG259N6
8,8,Maruti,2016,1196.0,3rd Party,3.7,20000.0,Manual,1st Owner,73.0,Petrol,7.0,15.37,Minivans,Agra,eeco 7 seater standard bsiv,8ZEM5KBE8Z57B22FL
9,9,Hyundai,2009,1086.0,3rd Party,1.2,30000.0,Manual,1st Owner,62.0,Petrol,5.0,,Hatchback,Agra,santro xing gl,PZNB1P12XZ2B76ERX
10,10,Honda,2014,1198.0,3rd Party,3.3,70000.0,Manual,1st Owner,86.7,Petrol,5.0,18.0,Sedan,Agra,amaze e i-vtech,49VHDCK69SE3LVH0D
11,11,Hyundai,2018,1197.0,3rd Party,4.75,60000.0,Manual,2nd Owner,81.86,Petrol,5.0,20.14,Sedan,Agra,xcent 1.2 vtvt sx,XK82PV9G3KJF1V004
12,12,Maruti,2020,1462.0,3rd Party,6.86,50000.0,Manual,3rd Owner,103.25,Petrol,5.0,21.56,Sedan,Agra,ciaz sigma bsiv,ETF615J92KRYPX2YS
13,13,Hyundai,2021,1493.0,3rd Party,12.5,60000.0,Manual,1st Owner,98.6,Diesel,5.0,23.7,SUV,Agra,venue sx opt executive diesel,G0NN7NRC472P1HH5E
14,14,Hyundai,2021,1396.0,3rd Party,11.0,60000.0,Manual,1st Owner,89.0,Diesel,5.0,23.7,SUV,Agra,venue sx dual tone diesel bsiv,VJT28SP4662NTCB85
15,15,Maruti,2019,998.0,3rd Party,3.95,20000.0,Automatic,1st Owner,67.1,Petrol,5.0,23.95,Hatchback,Agra,alto k10 vxi ags optional,AS6AAB9T2VRBBJ0V2
16,16,Maruti,2016,998.0,3rd Party,3.5,40000.0,Manual,1st Owner,58.16,CNG,5.0,26.6,Hatchback,Agra,wagon r lxi cng,8BHM80NY59U6NT7E0
17,17,Toyota,2011,1496.0,3rd Party,2.89,50000.0,Manual,2nd Owner,88.7,Petrol,5.0,17.6,Sedan,Agra,etios vx,WEW8CJWD6MFG3ETL6
18,18,Toyota,2011,1364.0,3rd Party,2.82,150000.0,Manual,1st Owner,87.2,Diesel,5.0,21.43,Sedan,Agra,corolla altis diesel d4dgl,W6VC62HN1T7UZD5X3
19,19,Kia,2021,998.0,3rd Party,10.0,10000.0,Manual,1st Owner,118.36,Petrol,5.0,18.2,SUV,Agra,sonet htx plus turbo imt bsvi,RVT3CKAL8W9YVHP6K
20,20,Maruti,2020,1462.0,3rd Party,7.85,30000.0,Manual,2nd Owner,103.25,Petrol,5.0,20.65,Sedan,Agra,ciaz alpha bsvi,3G4Y06SD7D3K4VN51
21,21,Ford,2014,1498.0,3rd Party,3.0,150000.0,Manual,3rd Owner,89.84,Diesel,5.0,22.7,SUV,Agra,ecosport 1.5 dv5 mt ambiente,54CCX55H56ARCEZVP
22,22,Mitsubishi,2011,2360.0,3rd Party,3.97,80000.0,Automatic,2nd Owner,170.0,Petrol,5.0,11.3,SUV,Agra,outlander 2.4,D1WK2UKL9DCVUTVCK
23,23,Maruti,2015,1248.0,3rd Party,3.75,20000.0,Manual,1st Owner,74.0,Diesel,5.0,26.59,Sedan,Agra,swift dzire vdi,350B3BD09K165EB69
